training_total,testing_total,P/L
82296.82693751685,89937.86245558488,PROFIT
37205.798588939404,31789.95179116465,LOSS
8163.828373897908,11868.882281674001,PROFIT
3979.6328134504733,3095.240174122521,LOSS
1605.2411301924808,1352.2367943007814,LOSS
1412.4520258224013,1661.0775175063864,PROFIT
1525.2352351272527,1120.8854174392868,LOSS
1423.6678860901154,851.5176732147637,LOSS
357.4362321899865,264.0611210602293,LOSS
485.81127416692215,605.538068585266,PROFIT
456.49700285803647,467.07376025855535,PROFIT
244.870942494275,180.63416174781787,LOSS
186.81535991371305,193.86301904762433,PROFIT
158.19993869484213,158.19993869484213,LOSS
155.72964709938378,155.72964709938378,LOSS
183.37567200935817,180.06790980232694,LOSS
202.08461535347598,206.2696834534519,PROFIT
264.9876808976064,266.66691443337544,PROFIT
250.01610068215652,200.29924915017548,LOSS
261.65781680001834,331.39671882333755,PROFIT
